Year,Month,Day,Registered,Casual
2012,12,17,4373,212
2012,12,18,5124,433
2012,12,19,4934,333
2012,12,20,3814,314
2012,12,21,3402,221
2012,12,22,1544,205
2012,12,23,1379,408
2012,12,24,746,174
2012,12,25,573,440
2012,12,26,432,9
2012,12,27,1867,247
2012,12,28,2451,644
2012,12,29,1182,159
2012,12,30,1432,364
2012,12,31,2289,439
2013,1,1,1564,421
2013,1,2,3419,284
2013,1,3,3576,297
2013,1,4,3821,297
2013,1,5,3053,509
2013,1,6,3204,586
2013,1,7,4442,332
2013,1,8,4869,442
2013,1,9,4791,356
2013,1,10,5056,359
2013,1,11,3896,254
2013,1,12,4388,1240
2013,1,13,3310,835
2013,1,14,4615,444
2013,1,15,2699,224
2013,1,16,3314,197
2013,1,17,4455,362
2013,1,18,4172,340
2013,1,19,3775,1199
2013,1,20,4111,1657
2013,1,21,3547,1027
2013,1,22,2862,89
2013,1,23,3151,69
2013,1,24,2428,20
2013,1,25,2331,44
2013,1,26,2586,179
2013,1,27,2769,263
2013,1,28,2668,65
2013,1,29,5513,321
2013,1,30,4505,182
2013,1,31,4238,120
2013,2,1,3117,84
2013,2,2,2240,233
2013,2,3,2401,185
2013,2,4,3824,122
2013,2,5,4462,151
2013,2,6,4736,179
2013,2,7,4313,175
2013,2,8,3244,146
2013,2,9,3041,425
2013,2,10,3112,501
2013,2,11,4117,151
2013,2,12,5399,281
2013,2,13,3385,171
2013,2,14,4815,355
2013,2,15,4675,683
2013,2,16,2560,679
2013,2,17,2025,483
2013,2,18,2826,535
2013,2,19,3797,163
2013,2,20,4192,191
2013,2,21,3960,187
2013,2,22,3439,123
2013,2,23,2364,211
2013,2,24,3530,848
2013,2,25,4669,333
2013,2,26,2635,149
2013,2,27,5077,363
2013,2,28,4831,297
2013,3,1,4612,329
2013,3,2,3067,674
2013,3,3,2620,475
2013,3,4,4143,311
2013,3,5,4773,444
2013,3,6,1057,79
2013,3,7,4728,315
2013,3,8,4459,411
2013,3,9,4667,2168
2013,3,10,4501,2328
2013,3,11,5060,1027
2013,3,12,3840,449
2013,3,13,5116,626
2013,3,14,4441,440
2013,3,15,5183,1201
2013,3,16,4434,1813
2013,3,17,3002,982
2013,3,18,2520,248
2013,3,19,5327,674
2013,3,20,5331,556
2013,3,21,4233,308
2013,3,22,4770,682
2013,3,23,4070,2473
2013,3,24,2779,1109
2013,3,25,1849,84
2013,3,26,4980,647
2013,3,27,5210,646
2013,3,28,4941,699
2013,3,29,5474,1969
2013,3,30,4656,5008
2013,3,31,2420,1400
2013,4,1,5116,1304
2013,4,2,5208,738
2013,4,3,5358,929
2013,4,4,4968,904
2013,4,5,6120,1559
2013,4,6,5247,4099
2013,4,7,5402,4428
2013,4,8,6599,1951
2013,4,9,7700,2138
2013,4,10,7674,1965
2013,4,11,7280,1886
2013,4,12,4891,1173
2013,4,13,5993,5376
2013,4,14,5322,4373
2013,4,15,5690,1289
2013,4,16,6796,1519
2013,4,17,7200,1363
2013,4,18,6566,1195
2013,4,19,5095,1083
2013,4,20,5470,3412
2013,4,21,4889,2512
2013,4,22,6014,780
2013,4,23,6561,948
2013,4,24,7246,1306
2013,4,25,6982,1350
2013,4,26,7230,1844
2013,4,27,5957,4947
2013,4,28,4585,3336
2013,4,29,3853,480
2013,4,30,4801,604
2013,5,1,7494,1197
2013,5,2,7269,1323
2013,5,3,6967,1774
2013,5,4,5935,3651
2013,5,5,5146,2934
2013,5,6,5500,1065
2013,5,7,4118,344
2013,5,8,5848,821
2013,5,9,6748,1122
2013,5,10,6978,1979
2013,5,11,4432,2099
2013,5,12,5019,3084
2013,5,13,6377,1064
2013,5,14,6858,1264
2013,5,15,7505,1321
2013,5,16,7448,1524
2013,5,17,7611,2544
2013,5,18,4479,1926
2013,5,19,4654,2080
2013,5,20,6829,1625
2013,5,21,7455,1648
2013,5,22,7586,1401
2013,5,23,6848,1288
2013,5,24,5694,1004
2013,5,25,4418,3621
2013,5,26,4306,5654
2013,5,27,4614,4453
2013,5,28,6017,1588
2013,5,29,7621,1736
2013,5,30,7455,1370
2013,5,31,7355,1835
2013,6,1,5911,3657
2013,6,2,4748,2998
2013,6,3,6033,1442
2013,6,4,8180,1852
2013,6,5,8165,1910
2013,6,6,5702,1223
2013,6,7,2267,242
